# ---------- BATCH RECIEPT ---------- #
Job ID: 17760799
Job Name: scratch_train.sh
Submit Time: Tue 21 Jul 12:32:16 BST 2026
Job description: Kinematic Regression MHA with no scaling
Node: node873.csf3.man.alces.network
User: m64196am
Partition: gpuL
GPUs: 1
Working Directory: /mnt/iusers01/fse-ugpgt01/phy01/m64196am
# ----------------------------------- #

Job started at : 2026-07-21 12:32:23
Using cuda device with number of GPUs: 1

============================================================
CONTROL PANEL
============================================================

DATA CONFIGURATION
  train_file: kinematic_features_train.h5
  val_file: kinematic_features_val.h5
  test_file: kinematic_features_test.h5
  scaler_file: kinematic_features_scaler.h5
  batch_size: 4096
  num_workers: 4
  pin_memory: True

MODEL CONFIGURATION
  d_model: 64
  nhead: 4
  num_layers: 4
  dropout: 0.1

TRAINING CONFIGURATION
  patience: 10
  min_delta: 0.0
  min_early_stop: 150
  num_epochs: 150
  learning_rate: 0.005
  weight_decay: 0.01
  kl_weight_max: 0.1
  kl_ramp_epochs: 15
  kl_bins: 100
  kl_sigma: 0.2
  kl_eps: 1e-08
  mass_loss_weight: 0.0001
  scheduler_factor: 0.5
  scheduler_patience: 5
  scheduler_min_lr: 1e-06


============================================================
Beginning Training Loop
============================================================
Epoch 51/150 | Train Loss: 0.0992 (KL: 0.0116) | Val Loss: 0.0756 (KL: 0.0096) | Train - Val Loss Diff : 0.0236 | Mass Train Loss : 121.7751 | Mass Val Loss : 93.5097 | Epoch Time: 11.45s | Total Time: 585.35s
Epoch 52/150 | Train Loss: 0.0990 (KL: 0.0116) | Val Loss: 0.0753 (KL: 0.0099) | Train - Val Loss Diff : 0.0236 | Mass Train Loss : 121.6102 | Mass Val Loss : 92.8496 | Epoch Time: 11.44s | Total Time: 596.79s
Epoch 53/150 | Train Loss: 0.0989 (KL: 0.0116) | Val Loss: 0.0750 (KL: 0.0097) | Train - Val Loss Diff : 0.0239 | Mass Train Loss : 121.6755 | Mass Val Loss : 89.9207 | Epoch Time: 11.48s | Total Time: 608.27s
Epoch 54/150 | Train Loss: 0.0989 (KL: 0.0115) | Val Loss: 0.0750 (KL: 0.0117) | Train - Val Loss Diff : 0.0239 | Mass Train Loss : 121.5797 | Mass Val Loss : 86.9150 | Epoch Time: 11.46s | Total Time: 619.73s
Epoch 55/150 | Train Loss: 0.0988 (KL: 0.0116) | Val Loss: 0.0751 (KL: 0.0098) | Train - Val Loss Diff : 0.0238 | Mass Train Loss : 121.8294 | Mass Val Loss : 90.6887 | Epoch Time: 11.46s | Total Time: 631.19s
Epoch 56/150 | Train Loss: 0.0989 (KL: 0.0117) | Val Loss: 0.0751 (KL: 0.0104) | Train - Val Loss Diff : 0.0237 | Mass Train Loss : 121.5675 | Mass Val Loss : 89.7801 | Epoch Time: 11.50s | Total Time: 642.69s
Epoch 57/150 | Train Loss: 0.0988 (KL: 0.0116) | Val Loss: 0.0749 (KL: 0.0096) | Train - Val Loss Diff : 0.0238 | Mass Train Loss : 121.4132 | Mass Val Loss : 89.7952 | Epoch Time: 11.51s | Total Time: 654.21s
Epoch 58/150 | Train Loss: 0.0987 (KL: 0.0116) | Val Loss: 0.0748 (KL: 0.0106) | Train - Val Loss Diff : 0.0239 | Mass Train Loss : 121.3655 | Mass Val Loss : 88.0872 | Epoch Time: 11.45s | Total Time: 665.66s
Epoch 59/150 | Train Loss: 0.0987 (KL: 0.0115) | Val Loss: 0.0749 (KL: 0.0100) | Train - Val Loss Diff : 0.0238 | Mass Train Loss : 121.4503 | Mass Val Loss : 90.1494 | Epoch Time: 11.47s | Total Time: 677.13s
Epoch 60/150 | Train Loss: 0.0987 (KL: 0.0115) | Val Loss: 0.0752 (KL: 0.0097) | Train - Val Loss Diff : 0.0234 | Mass Train Loss : 121.3349 | Mass Val Loss : 89.8228 | Epoch Time: 11.46s | Total Time: 688.59s
