Epoch 89/150 | Train Loss: 0.0907 (KL: 0.0117) | Val Loss: 0.0891 (KL: 0.0079) | KLw: 0.100 | Loss Diff : 0.0016 | Epoch Time: 9.39s | Total Time: 836.16s
Epoch 90/150 | Train Loss: 0.0907 (KL: 0.0117) | Val Loss: 0.0893 (KL: 0.0082) | KLw: 0.100 | Loss Diff : 0.0014 | Epoch Time: 9.38s | Total Time: 845.54s
Epoch 91/150 | Train Loss: 0.0905 (KL: 0.0116) | Val Loss: 0.0889 (KL: 0.0086) | KLw: 0.100 | Loss Diff : 0.0016 | Epoch Time: 9.51s | Total Time: 855.05s
Epoch 92/150 | Train Loss: 0.0904 (KL: 0.0115) | Val Loss: 0.0892 (KL: 0.0074) | KLw: 0.100 | Loss Diff : 0.0012 | Epoch Time: 9.53s | Total Time: 864.58s
Epoch 93/150 | Train Loss: 0.0903 (KL: 0.0115) | Val Loss: 0.0888 (KL: 0.0083) | KLw: 0.100 | Loss Diff : 0.0015 | Epoch Time: 9.37s | Total Time: 873.95s
Epoch 94/150 | Train Loss: 0.0902 (KL: 0.0114) | Val Loss: 0.0890 (KL: 0.0081) | KLw: 0.100 | Loss Diff : 0.0013 | Epoch Time: 9.37s | Total Time: 883.32s
Epoch 95/150 | Train Loss: 0.0903 (KL: 0.0115) | Val Loss: 0.0890 (KL: 0.0082) | KLw: 0.100 | Loss Diff : 0.0013 | Epoch Time: 9.38s | Total Time: 892.69s
Epoch 96/150 | Train Loss: 0.0902 (KL: 0.0114) | Val Loss: 0.0890 (KL: 0.0084) | KLw: 0.100 | Loss Diff : 0.0013 | Epoch Time: 9.37s | Total Time: 902.06s
Epoch 97/150 | Train Loss: 0.0902 (KL: 0.0115) | Val Loss: 0.0890 (KL: 0.0087) | KLw: 0.100 | Loss Diff : 0.0012 | Epoch Time: 9.36s | Total Time: 911.42s
Epoch 98/150 | Train Loss: 0.0902 (KL: 0.0115) | Val Loss: 0.0890 (KL: 0.0078) | KLw: 0.100 | Loss Diff : 0.0013 | Epoch Time: 9.35s | Total Time: 920.77s
Epoch 99/150 | Train Loss: 0.0902 (KL: 0.0115) | Val Loss: 0.0890 (KL: 0.0073) | KLw: 0.100 | Loss Diff : 0.0012 | Epoch Time: 9.36s | Total Time: 930.13s
Epoch 100/150 | Train Loss: 0.0902 (KL: 0.0115) | Val Loss: 0.0888 (KL: 0.0076) | KLw: 0.100 | Loss Diff : 0.0013 | Epoch Time: 9.39s | Total Time: 939.52s
Epoch 101/150 | Train Loss: 0.0900 (KL: 0.0114) | Val Loss: 0.0889 (KL: 0.0078) | KLw: 0.100 | Loss Diff : 0.0011 | Epoch Time: 9.37s | Total Time: 948.90s
Epoch 102/150 | Train Loss: 0.0900 (KL: 0.0114) | Val Loss: 0.0890 (KL: 0.0072) | KLw: 0.100 | Loss Diff : 0.0010 | Epoch Time: 9.38s | Total Time: 958.28s
Epoch 103/150 | Train Loss: 0.0900 (KL: 0.0114) | Val Loss: 0.0887 (KL: 0.0088) | KLw: 0.100 | Loss Diff : 0.0013 | Epoch Time: 9.36s | Total Time: 967.64s
Epoch 104/150 | Train Loss: 0.0901 (KL: 0.0115) | Val Loss: 0.0888 (KL: 0.0079) | KLw: 0.100 | Loss Diff : 0.0012 | Epoch Time: 9.45s | Total Time: 977.09s
Epoch 105/150 | Train Loss: 0.0900 (KL: 0.0115) | Val Loss: 0.0890 (KL: 0.0076) | KLw: 0.100 | Loss Diff : 0.0011 | Epoch Time: 9.54s | Total Time: 986.63s
Epoch 106/150 | Train Loss: 0.0901 (KL: 0.0116) | Val Loss: 0.0888 (KL: 0.0077) | KLw: 0.100 | Loss Diff : 0.0012 | Epoch Time: 9.40s | Total Time: 996.02s
Epoch 107/150 | Train Loss: 0.0901 (KL: 0.0115) | Val Loss: 0.0888 (KL: 0.0076) | KLw: 0.100 | Loss Diff : 0.0013 | Epoch Time: 9.37s | Total Time: 1005.39s
Epoch 108/150 | Train Loss: 0.0900 (KL: 0.0114) | Val Loss: 0.0889 (KL: 0.0080) | KLw: 0.100 | Loss Diff : 0.0011 | Epoch Time: 9.37s | Total Time: 1014.76s
Epoch 109/150 | Train Loss: 0.0900 (KL: 0.0114) | Val Loss: 0.0889 (KL: 0.0080) | KLw: 0.100 | Loss Diff : 0.0010 | Epoch Time: 9.36s | Total Time: 1024.13s
