Epoch 84/150 | Train Loss: 0.0914 (KL: 0.0123) | Val Loss: 0.0891 (KL: 0.0137) | KLw: 0.100 | Loss Diff : 0.0023 | Epoch Time: 9.07s | Total Time: 780.40s
Epoch 85/150 | Train Loss: 0.0914 (KL: 0.0121) | Val Loss: 0.0899 (KL: 0.0067) | KLw: 0.100 | Loss Diff : 0.0015 | Epoch Time: 9.07s | Total Time: 789.46s
Epoch 86/150 | Train Loss: 0.0914 (KL: 0.0122) | Val Loss: 0.0896 (KL: 0.0097) | KLw: 0.100 | Loss Diff : 0.0018 | Epoch Time: 9.05s | Total Time: 798.52s
Epoch 87/150 | Train Loss: 0.0914 (KL: 0.0123) | Val Loss: 0.0888 (KL: 0.0103) | KLw: 0.100 | Loss Diff : 0.0025 | Epoch Time: 9.06s | Total Time: 807.57s
Epoch 88/150 | Train Loss: 0.0913 (KL: 0.0122) | Val Loss: 0.0899 (KL: 0.0072) | KLw: 0.100 | Loss Diff : 0.0014 | Epoch Time: 9.07s | Total Time: 816.64s
Epoch 89/150 | Train Loss: 0.0912 (KL: 0.0122) | Val Loss: 0.0905 (KL: 0.0072) | KLw: 0.100 | Loss Diff : 0.0007 | Epoch Time: 9.07s | Total Time: 825.71s
Epoch 90/150 | Train Loss: 0.0911 (KL: 0.0120) | Val Loss: 0.0893 (KL: 0.0122) | KLw: 0.100 | Loss Diff : 0.0018 | Epoch Time: 9.06s | Total Time: 834.78s
Epoch 91/150 | Train Loss: 0.0911 (KL: 0.0121) | Val Loss: 0.0890 (KL: 0.0078) | KLw: 0.100 | Loss Diff : 0.0021 | Epoch Time: 9.06s | Total Time: 843.83s
Epoch 92/150 | Train Loss: 0.0911 (KL: 0.0122) | Val Loss: 0.0894 (KL: 0.0077) | KLw: 0.100 | Loss Diff : 0.0016 | Epoch Time: 9.08s | Total Time: 852.91s
Epoch 93/150 | Train Loss: 0.0910 (KL: 0.0119) | Val Loss: 0.0895 (KL: 0.0084) | KLw: 0.100 | Loss Diff : 0.0015 | Epoch Time: 9.06s | Total Time: 861.97s
Epoch 94/150 | Train Loss: 0.0901 (KL: 0.0119) | Val Loss: 0.0896 (KL: 0.0061) | KLw: 0.100 | Loss Diff : 0.0005 | Epoch Time: 9.06s | Total Time: 871.02s
Epoch 95/150 | Train Loss: 0.0899 (KL: 0.0116) | Val Loss: 0.0896 (KL: 0.0066) | KLw: 0.100 | Loss Diff : 0.0004 | Epoch Time: 9.08s | Total Time: 880.11s
Epoch 96/150 | Train Loss: 0.0897 (KL: 0.0116) | Val Loss: 0.0891 (KL: 0.0069) | KLw: 0.100 | Loss Diff : 0.0006 | Epoch Time: 9.08s | Total Time: 889.18s
Epoch 97/150 | Train Loss: 0.0898 (KL: 0.0116) | Val Loss: 0.0887 (KL: 0.0083) | KLw: 0.100 | Loss Diff : 0.0011 | Epoch Time: 9.08s | Total Time: 898.27s
Epoch 98/150 | Train Loss: 0.0897 (KL: 0.0117) | Val Loss: 0.0883 (KL: 0.0119) | KLw: 0.100 | Loss Diff : 0.0014 | Epoch Time: 9.07s | Total Time: 907.33s
Epoch 99/150 | Train Loss: 0.0897 (KL: 0.0117) | Val Loss: 0.0887 (KL: 0.0071) | KLw: 0.100 | Loss Diff : 0.0009 | Epoch Time: 9.09s | Total Time: 916.42s
Epoch 100/150 | Train Loss: 0.0896 (KL: 0.0116) | Val Loss: 0.0888 (KL: 0.0077) | KLw: 0.100 | Loss Diff : 0.0008 | Epoch Time: 9.08s | Total Time: 925.50s
Epoch 101/150 | Train Loss: 0.0896 (KL: 0.0115) | Val Loss: 0.0889 (KL: 0.0085) | KLw: 0.100 | Loss Diff : 0.0008 | Epoch Time: 9.07s | Total Time: 934.57s
