# ---------- BATCH RECIEPT ---------- #
Job ID: 17762331
Job Name: scratch_train.sh
Submit Time: Tue 21 Jul 14:10:53 BST 2026
Job description: Kinematic Regression MLA with no scaling
Node: node872.csf3.man.alces.network
User: m64196am
Partition: gpuL
GPUs: 1
Working Directory: /mnt/iusers01/fse-ugpgt01/phy01/m64196am
# ----------------------------------- #

Job started at : 2026-07-21 14:10:59
Using cuda device with number of GPUs: 1

============================================================
CONTROL PANEL
============================================================

DATA CONFIGURATION
  train_file: kinematic_features_train.h5
  val_file: kinematic_features_val.h5
  test_file: kinematic_features_test.h5
  scaler_file: kinematic_features_scaler.h5
  batch_size: 4096
  num_workers: 4
  pin_memory: True

MODEL CONFIGURATION
  d_model: 64
  nhead: 4
  num_layers: 4
  dropout: 0.1
  latent_dim: 16

TRAINING CONFIGURATION
  patience: 10
  min_delta: 0.0
  min_early_stop: 150
  num_epochs: 150
  learning_rate: 0.005
  weight_decay: 0.01
  kl_weight_max: 0.1
  kl_ramp_epochs: 15
  kl_bins: 100
  kl_sigma: 0.2
  kl_eps: 1e-08
  mass_loss_weight: 0.0001
  scheduler_factor: 0.5
  scheduler_patience: 5
  scheduler_min_lr: 1e-06


============================================================
Beginning Training Loop
============================================================
Epoch 55/150 | Train Loss: 0.1006 (KL: 0.0124) | Val Loss: 0.0767 (KL: 0.0112) | Train - Val Loss Diff : 0.0239 | Mass Train Loss : 123.6159 | Mass Val Loss : 93.8538 | Epoch Time: 11.78s | Total Time: 647.44s
Epoch 56/150 | Train Loss: 0.1005 (KL: 0.0124) | Val Loss: 0.0770 (KL: 0.0122) | Train - Val Loss Diff : 0.0235 | Mass Train Loss : 123.3031 | Mass Val Loss : 86.9135 | Epoch Time: 11.85s | Total Time: 659.29s
Epoch 57/150 | Train Loss: 0.0988 (KL: 0.0117) | Val Loss: 0.0751 (KL: 0.0125) | Train - Val Loss Diff : 0.0236 | Mass Train Loss : 122.1962 | Mass Val Loss : 89.3817 | Epoch Time: 11.81s | Total Time: 671.09s
Epoch 58/150 | Train Loss: 0.0986 (KL: 0.0117) | Val Loss: 0.0756 (KL: 0.0095) | Train - Val Loss Diff : 0.0230 | Mass Train Loss : 122.0863 | Mass Val Loss : 96.5564 | Epoch Time: 11.78s | Total Time: 682.87s
Epoch 59/150 | Train Loss: 0.0986 (KL: 0.0118) | Val Loss: 0.0753 (KL: 0.0091) | Train - Val Loss Diff : 0.0233 | Mass Train Loss : 122.0765 | Mass Val Loss : 94.1327 | Epoch Time: 11.91s | Total Time: 694.78s
Epoch 60/150 | Train Loss: 0.0986 (KL: 0.0116) | Val Loss: 0.0749 (KL: 0.0116) | Train - Val Loss Diff : 0.0237 | Mass Train Loss : 122.0331 | Mass Val Loss : 86.4629 | Epoch Time: 11.73s | Total Time: 706.50s
Epoch 61/150 | Train Loss: 0.0986 (KL: 0.0117) | Val Loss: 0.0753 (KL: 0.0115) | Train - Val Loss Diff : 0.0233 | Mass Train Loss : 122.0624 | Mass Val Loss : 89.6543 | Epoch Time: 11.73s | Total Time: 718.24s
Epoch 62/150 | Train Loss: 0.0985 (KL: 0.0117) | Val Loss: 0.0751 (KL: 0.0104) | Train - Val Loss Diff : 0.0234 | Mass Train Loss : 121.9367 | Mass Val Loss : 92.9658 | Epoch Time: 11.74s | Total Time: 729.97s
Epoch 63/150 | Train Loss: 0.0985 (KL: 0.0116) | Val Loss: 0.0748 (KL: 0.0086) | Train - Val Loss Diff : 0.0236 | Mass Train Loss : 121.9090 | Mass Val Loss : 91.7564 | Epoch Time: 11.77s | Total Time: 741.74s
Epoch 64/150 | Train Loss: 0.0984 (KL: 0.0117) | Val Loss: 0.0745 (KL: 0.0094) | Train - Val Loss Diff : 0.0240 | Mass Train Loss : 121.9598 | Mass Val Loss : 89.3561 | Epoch Time: 11.74s | Total Time: 753.48s
Epoch 65/150 | Train Loss: 0.0984 (KL: 0.0116) | Val Loss: 0.0750 (KL: 0.0113) | Train - Val Loss Diff : 0.0234 | Mass Train Loss : 121.8457 | Mass Val Loss : 88.3708 | Epoch Time: 11.79s | Total Time: 765.27s
Epoch 66/150 | Train Loss: 0.0983 (KL: 0.0116) | Val Loss: 0.0749 (KL: 0.0106) | Train - Val Loss Diff : 0.0234 | Mass Train Loss : 121.7306 | Mass Val Loss : 89.9876 | Epoch Time: 11.76s | Total Time: 777.03s
Epoch 67/150 | Train Loss: 0.0983 (KL: 0.0116) | Val Loss: 0.0749 (KL: 0.0102) | Train - Val Loss Diff : 0.0233 | Mass Train Loss : 121.7153 | Mass Val Loss : 91.9713 | Epoch Time: 11.77s | Total Time: 788.80s
Epoch 68/150 | Train Loss: 0.0983 (KL: 0.0116) | Val Loss: 0.0751 (KL: 0.0119) | Train - Val Loss Diff : 0.0232 | Mass Train Loss : 121.5821 | Mass Val Loss : 86.0340 | Epoch Time: 11.76s | Total Time: 800.56s
Epoch 69/150 | Train Loss: 0.0983 (KL: 0.0116) | Val Loss: 0.0747 (KL: 0.0089) | Train - Val Loss Diff : 0.0236 | Mass Train Loss : 121.6353 | Mass Val Loss : 89.9148 | Epoch Time: 11.78s | Total Time: 812.34s
Epoch 70/150 | Train Loss: 0.0983 (KL: 0.0117) | Val Loss: 0.0753 (KL: 0.0093) | Train - Val Loss Diff : 0.0230 | Mass Train Loss : 121.5114 | Mass Val Loss : 94.0012 | Epoch Time: 11.75s | Total Time: 824.09s
Epoch 71/150 | Train Loss: 0.0973 (KL: 0.0112) | Val Loss: 0.0739 (KL: 0.0111) | Train - Val Loss Diff : 0.0234 | Mass Train Loss : 121.0211 | Mass Val Loss : 86.1224 | Epoch Time: 11.76s | Total Time: 835.85s
Epoch 72/150 | Train Loss: 0.0971 (KL: 0.0113) | Val Loss: 0.0742 (KL: 0.0122) | Train - Val Loss Diff : 0.0230 | Mass Train Loss : 120.7606 | Mass Val Loss : 88.4683 | Epoch Time: 11.75s | Total Time: 847.60s
Epoch 73/150 | Train Loss: 0.0971 (KL: 0.0113) | Val Loss: 0.0741 (KL: 0.0091) | Train - Val Loss Diff : 0.0230 | Mass Train Loss : 120.7974 | Mass Val Loss : 94.2323 | Epoch Time: 11.74s | Total Time: 859.34s
Epoch 74/150 | Train Loss: 0.0973 (KL: 0.0113) | Val Loss: 0.0738 (KL: 0.0104) | Train - Val Loss Diff : 0.0235 | Mass Train Loss : 120.9156 | Mass Val Loss : 88.9404 | Epoch Time: 11.74s | Total Time: 871.08s
Epoch 75/150 | Train Loss: 0.0971 (KL: 0.0113) | Val Loss: 0.0735 (KL: 0.0103) | Train - Val Loss Diff : 0.0236 | Mass Train Loss : 120.8309 | Mass Val Loss : 86.5378 | Epoch Time: 11.80s | Total Time: 882.88s
Epoch 76/150 | Train Loss: 0.0971 (KL: 0.0113) | Val Loss: 0.0735 (KL: 0.0102) | Train - Val Loss Diff : 0.0236 | Mass Train Loss : 120.7369 | Mass Val Loss : 87.5198 | Epoch Time: 11.74s | Total Time: 894.62s
Epoch 77/150 | Train Loss: 0.0971 (KL: 0.0113) | Val Loss: 0.0740 (KL: 0.0098) | Train - Val Loss Diff : 0.0232 | Mass Train Loss : 120.7383 | Mass Val Loss : 89.7277 | Epoch Time: 11.75s | Total Time: 906.37s
Epoch 78/150 | Train Loss: 0.0970 (KL: 0.0113) | Val Loss: 0.0738 (KL: 0.0085) | Train - Val Loss Diff : 0.0232 | Mass Train Loss : 120.7113 | Mass Val Loss : 91.7265 | Epoch Time: 11.73s | Total Time: 918.09s
Epoch 79/150 | Train Loss: 0.0970 (KL: 0.0112) | Val Loss: 0.0738 (KL: 0.0100) | Train - Val Loss Diff : 0.0233 | Mass Train Loss : 120.6822 | Mass Val Loss : 89.4001 | Epoch Time: 11.77s | Total Time: 929.87s
Epoch 80/150 | Train Loss: 0.0970 (KL: 0.0112) | Val Loss: 0.0736 (KL: 0.0089) | Train - Val Loss Diff : 0.0234 | Mass Train Loss : 120.6554 | Mass Val Loss : 89.4820 | Epoch Time: 11.80s | Total Time: 941.66s
Epoch 81/150 | Train Loss: 0.0970 (KL: 0.0112) | Val Loss: 0.0737 (KL: 0.0110) | Train - Val Loss Diff : 0.0233 | Mass Train Loss : 120.6727 | Mass Val Loss : 87.5177 | Epoch Time: 11.85s | Total Time: 953.51s
Epoch 82/150 | Train Loss: 0.0965 (KL: 0.0111) | Val Loss: 0.0731 (KL: 0.0094) | Train - Val Loss Diff : 0.0234 | Mass Train Loss : 120.2225 | Mass Val Loss : 88.9866 | Epoch Time: 11.80s | Total Time: 965.32s
Epoch 83/150 | Train Loss: 0.0964 (KL: 0.0111) | Val Loss: 0.0730 (KL: 0.0092) | Train - Val Loss Diff : 0.0234 | Mass Train Loss : 120.2148 | Mass Val Loss : 88.8905 | Epoch Time: 11.84s | Total Time: 977.16s
Epoch 84/150 | Train Loss: 0.0964 (KL: 0.0110) | Val Loss: 0.0731 (KL: 0.0094) | Train - Val Loss Diff : 0.0233 | Mass Train Loss : 120.1011 | Mass Val Loss : 89.5053 | Epoch Time: 11.82s | Total Time: 988.97s
Epoch 85/150 | Train Loss: 0.0964 (KL: 0.0110) | Val Loss: 0.0731 (KL: 0.0099) | Train - Val Loss Diff : 0.0233 | Mass Train Loss : 120.1796 | Mass Val Loss : 88.2044 | Epoch Time: 11.81s | Total Time: 1000.78s
Epoch 86/150 | Train Loss: 0.0963 (KL: 0.0110) | Val Loss: 0.0728 (KL: 0.0104) | Train - Val Loss Diff : 0.0235 | Mass Train Loss : 120.1438 | Mass Val Loss : 84.7405 | Epoch Time: 11.79s | Total Time: 1012.58s
Epoch 87/150 | Train Loss: 0.0963 (KL: 0.0110) | Val Loss: 0.0729 (KL: 0.0102) | Train - Val Loss Diff : 0.0234 | Mass Train Loss : 120.1591 | Mass Val Loss : 85.5876 | Epoch Time: 11.77s | Total Time: 1024.35s
