# ---------- BATCH RECIEPT ---------- #
Job ID: 17760745
Job Name: scratch_train.sh
Submit Time: Tue 21 Jul 12:31:48 BST 2026
Job description: Kinematic Regression MHA with no mass loss
Node: node872.csf3.man.alces.network
User: m64196am
Partition: gpuL
GPUs: 1
Working Directory: /mnt/iusers01/fse-ugpgt01/phy01/m64196am
# ----------------------------------- #

Job started at : 2026-07-21 12:31:58
Using cuda device with number of GPUs: 1

============================================================
CONTROL PANEL
============================================================

DATA CONFIGURATION
  train_file: kinematic_features_train.h5
  val_file: kinematic_features_val.h5
  test_file: kinematic_features_test.h5
  scaler_file: kinematic_features_scaler.h5
  batch_size: 4096
  num_workers: 4
  pin_memory: True

MODEL CONFIGURATION
  d_model: 64
  nhead: 4
  num_layers: 4
  dropout: 0.1

TRAINING CONFIGURATION
  patience: 10
  min_delta: 0.0
  min_early_stop: 150
  num_epochs: 150
  learning_rate: 0.005
  weight_decay: 0.01
  kl_weight_max: 0.1
  kl_ramp_epochs: 15
  kl_bins: 100
  kl_sigma: 0.2
  kl_eps: 1e-08
  mass_loss_weight: 0.0001
  scheduler_factor: 0.5
  scheduler_patience: 5
  scheduler_min_lr: 1e-06


============================================================
Beginning Training Loop
============================================================
Epoch 63/150 | Train Loss: 0.0915 (KL: 0.0129) | Val Loss: 0.0730 (KL: 0.0116) | Train - Val Loss Diff : 0.0185 | Epoch Time: 10.51s | Total Time: 663.42s
Epoch 64/150 | Train Loss: 0.0903 (KL: 0.0125) | Val Loss: 0.0718 (KL: 0.0137) | Train - Val Loss Diff : 0.0186 | Epoch Time: 10.51s | Total Time: 673.93s
Epoch 65/150 | Train Loss: 0.0902 (KL: 0.0125) | Val Loss: 0.0708 (KL: 0.0124) | Train - Val Loss Diff : 0.0194 | Epoch Time: 10.50s | Total Time: 684.43s
Epoch 66/150 | Train Loss: 0.0901 (KL: 0.0124) | Val Loss: 0.0713 (KL: 0.0127) | Train - Val Loss Diff : 0.0189 | Epoch Time: 10.54s | Total Time: 694.97s
Epoch 67/150 | Train Loss: 0.0901 (KL: 0.0125) | Val Loss: 0.0712 (KL: 0.0118) | Train - Val Loss Diff : 0.0189 | Epoch Time: 10.52s | Total Time: 705.49s
Epoch 68/150 | Train Loss: 0.0900 (KL: 0.0125) | Val Loss: 0.0711 (KL: 0.0116) | Train - Val Loss Diff : 0.0189 | Epoch Time: 10.51s | Total Time: 716.01s
Epoch 69/150 | Train Loss: 0.0900 (KL: 0.0124) | Val Loss: 0.0712 (KL: 0.0126) | Train - Val Loss Diff : 0.0188 | Epoch Time: 10.51s | Total Time: 726.52s
Epoch 70/150 | Train Loss: 0.0899 (KL: 0.0124) | Val Loss: 0.0712 (KL: 0.0130) | Train - Val Loss Diff : 0.0187 | Epoch Time: 10.50s | Total Time: 737.02s
Epoch 71/150 | Train Loss: 0.0900 (KL: 0.0124) | Val Loss: 0.0710 (KL: 0.0125) | Train - Val Loss Diff : 0.0190 | Epoch Time: 10.51s | Total Time: 747.53s
Epoch 72/150 | Train Loss: 0.0893 (KL: 0.0122) | Val Loss: 0.0702 (KL: 0.0115) | Train - Val Loss Diff : 0.0191 | Epoch Time: 10.54s | Total Time: 758.07s
Epoch 73/150 | Train Loss: 0.0892 (KL: 0.0122) | Val Loss: 0.0703 (KL: 0.0119) | Train - Val Loss Diff : 0.0189 | Epoch Time: 10.54s | Total Time: 768.61s
Epoch 74/150 | Train Loss: 0.0892 (KL: 0.0122) | Val Loss: 0.0706 (KL: 0.0118) | Train - Val Loss Diff : 0.0186 | Epoch Time: 10.52s | Total Time: 779.13s
Epoch 75/150 | Train Loss: 0.0892 (KL: 0.0122) | Val Loss: 0.0703 (KL: 0.0111) | Train - Val Loss Diff : 0.0189 | Epoch Time: 10.51s | Total Time: 789.63s
Epoch 76/150 | Train Loss: 0.0892 (KL: 0.0121) | Val Loss: 0.0704 (KL: 0.0119) | Train - Val Loss Diff : 0.0188 | Epoch Time: 10.53s | Total Time: 800.16s
Epoch 77/150 | Train Loss: 0.0891 (KL: 0.0121) | Val Loss: 0.0707 (KL: 0.0121) | Train - Val Loss Diff : 0.0184 | Epoch Time: 10.53s | Total Time: 810.69s
Epoch 78/150 | Train Loss: 0.0891 (KL: 0.0121) | Val Loss: 0.0707 (KL: 0.0116) | Train - Val Loss Diff : 0.0184 | Epoch Time: 10.52s | Total Time: 821.22s
Epoch 79/150 | Train Loss: 0.0887 (KL: 0.0120) | Val Loss: 0.0702 (KL: 0.0119) | Train - Val Loss Diff : 0.0186 | Epoch Time: 10.54s | Total Time: 831.76s
Epoch 80/150 | Train Loss: 0.0887 (KL: 0.0121) | Val Loss: 0.0704 (KL: 0.0123) | Train - Val Loss Diff : 0.0183 | Epoch Time: 10.52s | Total Time: 842.28s
Epoch 81/150 | Train Loss: 0.0887 (KL: 0.0121) | Val Loss: 0.0701 (KL: 0.0121) | Train - Val Loss Diff : 0.0186 | Epoch Time: 10.53s | Total Time: 852.81s
Epoch 82/150 | Train Loss: 0.0887 (KL: 0.0120) | Val Loss: 0.0700 (KL: 0.0120) | Train - Val Loss Diff : 0.0188 | Epoch Time: 10.52s | Total Time: 863.33s
Epoch 83/150 | Train Loss: 0.0887 (KL: 0.0120) | Val Loss: 0.0703 (KL: 0.0127) | Train - Val Loss Diff : 0.0184 | Epoch Time: 10.53s | Total Time: 873.85s
Epoch 84/150 | Train Loss: 0.0887 (KL: 0.0121) | Val Loss: 0.0702 (KL: 0.0119) | Train - Val Loss Diff : 0.0185 | Epoch Time: 10.53s | Total Time: 884.38s
Epoch 85/150 | Train Loss: 0.0886 (KL: 0.0120) | Val Loss: 0.0699 (KL: 0.0116) | Train - Val Loss Diff : 0.0187 | Epoch Time: 10.52s | Total Time: 894.91s
Epoch 86/150 | Train Loss: 0.0886 (KL: 0.0119) | Val Loss: 0.0703 (KL: 0.0125) | Train - Val Loss Diff : 0.0183 | Epoch Time: 10.55s | Total Time: 905.46s
Epoch 87/150 | Train Loss: 0.0886 (KL: 0.0120) | Val Loss: 0.0701 (KL: 0.0120) | Train - Val Loss Diff : 0.0186 | Epoch Time: 10.51s | Total Time: 915.97s
Epoch 88/150 | Train Loss: 0.0887 (KL: 0.0120) | Val Loss: 0.0701 (KL: 0.0123) | Train - Val Loss Diff : 0.0186 | Epoch Time: 10.50s | Total Time: 926.47s
Epoch 89/150 | Train Loss: 0.0886 (KL: 0.0119) | Val Loss: 0.0702 (KL: 0.0123) | Train - Val Loss Diff : 0.0184 | Epoch Time: 10.52s | Total Time: 936.99s
Epoch 90/150 | Train Loss: 0.0886 (KL: 0.0120) | Val Loss: 0.0703 (KL: 0.0123) | Train - Val Loss Diff : 0.0182 | Epoch Time: 10.55s | Total Time: 947.54s
Epoch 91/150 | Train Loss: 0.0886 (KL: 0.0120) | Val Loss: 0.0701 (KL: 0.0120) | Train - Val Loss Diff : 0.0184 | Epoch Time: 10.53s | Total Time: 958.07s
Epoch 92/150 | Train Loss: 0.0884 (KL: 0.0119) | Val Loss: 0.0700 (KL: 0.0116) | Train - Val Loss Diff : 0.0184 | Epoch Time: 10.53s | Total Time: 968.60s
Epoch 93/150 | Train Loss: 0.0884 (KL: 0.0119) | Val Loss: 0.0700 (KL: 0.0118) | Train - Val Loss Diff : 0.0184 | Epoch Time: 10.51s | Total Time: 979.11s
Epoch 94/150 | Train Loss: 0.0884 (KL: 0.0120) | Val Loss: 0.0701 (KL: 0.0121) | Train - Val Loss Diff : 0.0183 | Epoch Time: 13.53s | Total Time: 992.64s
Epoch 95/150 | Train Loss: 0.0883 (KL: 0.0119) | Val Loss: 0.0699 (KL: 0.0119) | Train - Val Loss Diff : 0.0184 | Epoch Time: 16.59s | Total Time: 1009.23s
Epoch 96/150 | Train Loss: 0.0883 (KL: 0.0119) | Val Loss: 0.0699 (KL: 0.0115) | Train - Val Loss Diff : 0.0185 | Epoch Time: 14.01s | Total Time: 1023.25s
Epoch 97/150 | Train Loss: 0.0883 (KL: 0.0119) | Val Loss: 0.0700 (KL: 0.0118) | Train - Val Loss Diff : 0.0184 | Epoch Time: 13.53s | Total Time: 1036.77s
Epoch 98/150 | Train Loss: 0.0884 (KL: 0.0119) | Val Loss: 0.0701 (KL: 0.0118) | Train - Val Loss Diff : 0.0183 | Epoch Time: 15.76s | Total Time: 1052.53s
Epoch 99/150 | Train Loss: 0.0884 (KL: 0.0120) | Val Loss: 0.0699 (KL: 0.0113) | Train - Val Loss Diff : 0.0185 | Epoch Time: 10.52s | Total Time: 1063.05s
Epoch 100/150 | Train Loss: 0.0883 (KL: 0.0119) | Val Loss: 0.0701 (KL: 0.0120) | Train - Val Loss Diff : 0.0182 | Epoch Time: 10.52s | Total Time: 1073.58s
Epoch 101/150 | Train Loss: 0.0883 (KL: 0.0119) | Val Loss: 0.0703 (KL: 0.0121) | Train - Val Loss Diff : 0.0180 | Epoch Time: 10.64s | Total Time: 1084.22s
Epoch 102/150 | Train Loss: 0.0883 (KL: 0.0119) | Val Loss: 0.0699 (KL: 0.0119) | Train - Val Loss Diff : 0.0184 | Epoch Time: 10.52s | Total Time: 1094.74s
