Epoch 131/150 | Train Loss: 0.0865 | Val Loss: 0.0862 | Loss Diff : 0.0002 | Epoch Time: 8.61s | Total Time: 1129.61s
Epoch 132/150 | Train Loss: 0.0865 | Val Loss: 0.0863 | Loss Diff : 0.0002 | Epoch Time: 8.61s | Total Time: 1138.22s
Epoch 133/150 | Train Loss: 0.0864 | Val Loss: 0.0863 | Loss Diff : 0.0001 | Epoch Time: 8.61s | Total Time: 1146.83s
Epoch 134/150 | Train Loss: 0.0863 | Val Loss: 0.0862 | Loss Diff : 0.0001 | Epoch Time: 8.60s | Total Time: 1155.43s
Epoch 135/150 | Train Loss: 0.0863 | Val Loss: 0.0861 | Loss Diff : 0.0002 | Epoch Time: 8.63s | Total Time: 1164.07s
Epoch 136/150 | Train Loss: 0.0864 | Val Loss: 0.0861 | Loss Diff : 0.0002 | Epoch Time: 8.61s | Total Time: 1172.68s
Epoch 137/150 | Train Loss: 0.0863 | Val Loss: 0.0862 | Loss Diff : 0.0001 | Epoch Time: 8.61s | Total Time: 1181.29s
Epoch 138/150 | Train Loss: 0.0864 | Val Loss: 0.0862 | Loss Diff : 0.0002 | Epoch Time: 8.60s | Total Time: 1189.89s
Epoch 139/150 | Train Loss: 0.0863 | Val Loss: 0.0862 | Loss Diff : 0.0001 | Epoch Time: 8.60s | Total Time: 1198.49s
Epoch 140/150 | Train Loss: 0.0863 | Val Loss: 0.0862 | Loss Diff : 0.0001 | Epoch Time: 8.61s | Total Time: 1207.10s
Epoch 141/150 | Train Loss: 0.0863 | Val Loss: 0.0862 | Loss Diff : 0.0001 | Epoch Time: 8.61s | Total Time: 1215.72s
Epoch 142/150 | Train Loss: 0.0863 | Val Loss: 0.0862 | Loss Diff : 0.0001 | Epoch Time: 8.62s | Total Time: 1224.33s
Epoch 143/150 | Train Loss: 0.0863 | Val Loss: 0.0862 | Loss Diff : 0.0001 | Epoch Time: 8.66s | Total Time: 1232.99s
Epoch 144/150 | Train Loss: 0.0863 | Val Loss: 0.0862 | Loss Diff : 0.0001 | Epoch Time: 8.62s | Total Time: 1241.61s
Epoch 145/150 | Train Loss: 0.0862 | Val Loss: 0.0862 | Loss Diff : 0.0001 | Epoch Time: 8.61s | Total Time: 1250.21s
Epoch 146/150 | Train Loss: 0.0862 | Val Loss: 0.0862 | Loss Diff : 0.0001 | Epoch Time: 8.60s | Total Time: 1258.81s
Epoch 147/150 | Train Loss: 0.0862 | Val Loss: 0.0862 | Loss Diff : 0.0000 | Epoch Time: 8.59s | Total Time: 1267.40s
Epoch 148/150 | Train Loss: 0.0862 | Val Loss: 0.0861 | Loss Diff : 0.0001 | Epoch Time: 8.63s | Total Time: 1276.03s
Epoch 149/150 | Train Loss: 0.0863 | Val Loss: 0.0861 | Loss Diff : 0.0002 | Epoch Time: 8.62s | Total Time: 1284.65s
Epoch 150/150 | Train Loss: 0.0863 | Val Loss: 0.0862 | Loss Diff : 0.0001 | Epoch Time: 8.61s | Total Time: 1293.26s
Epochs: 150
Batch size: 4096
LR: 0.001
MSE in GeV: 6468.3073
RMSE in GeV: 80.4258
MAE in GeV: 54.1634
R^2 in GeV: 0.8067
KL-Divergence : 0.2653 +- 0.0001
Saved predictions to ttbar_train_MLA.txt
Saved analysis plot to ttbar_train_MLA.png
